問題文	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	選択肢6	正解	タイプ	点数	秒数	画像	解説
友達を装ってはいるが、実際は裏で悪い噂を流したり、わざと足を引っ張ったりする人を表す言葉は？	フレネミー	カスコレ	コレンドリーファイアマン				A	今	100	15		
「キュン」の上位互換として使われる言葉は？	ギュン	キュイン	ボン				A	今	100	15		
この画像の名称は何？	ぷっくりドロップシール	ボンボンドロップシール	エポキシドロップシール				B	今	100	15	/question-images/current-trend-q3.png	
「ほんまやで、（ ）、知らんけど」の空欄に入る言葉は？	なんでやねん	ごめんて	もうええわ				A	今	100	15		
次のSNSのうち、日本の高校生の利用者数がいちばん多いのはどれ？	TikTok	Instagram	X（旧Twitter）				B	今	100	15		
2026年W杯で、長友佑都の口から出た新しい名言は？	グラッツェ	マンマミーア	フォルツァ				B	今	100	15		
この中でいちばん多く使われている絵文字は？	!	❤️	🥺				A	今	100	15		
出典: 春に舞う / Ado　答えを探すたびに（ ）君の香りがするの	ほんのり	ふんわり					B	曲	100	15		
出典: AIZO / King Knu　廻れ廻れ時代の 生き恥に（ ）愛憎愛憎を喰らって	つぶされて	うずもれて	ずぶぬれで				C	曲	100	15		
歌詞クイズ　世界が驚く どいつもこいつも Crazy Crazy man（ ）CHARISMAX	限界超えてゆく	常識壊していく	時代切り聞く				B	曲	100	15		
米津玄師の歌詞問題　僕らは今日ただ 一羽の夢見がちな鳥になって 光を受けて続く この道を（ ）	紡いでいく	切り開いていく	辿り直していく				C	曲	100	15		
出典: なんでやねん★知らんけど / ★ほんまやで / モナキ　その全て I want you なんでやねん！ 強く抱きしめたくて（ ）	おまえを	あんたを	今すぐ	今だけ			A	曲	100	15		
出典: 2012年　スギちゃんのギャグで、その年の流行語大賞にもなった言葉は？	イケメンだろぉ！	ビックリだろぉ！	ワイルドだろぉ！				C	昔	100	15		
出典: 2015年　「あったかいんだからぁ♪♪」で一躍ブレイクした芸人は？	みのもんた	クマムシ	BKBバイク川崎バイク				B	昔	100	15		
出典: 2014年　野々村議員の発言のピー音に入るセリフは？	少子化問題高齢	あなたにはわからんでしょーね	政務調査費				A	昔	100	15		
出典: 2015年　画像のキャラクターは何？	ウミガメ	アマビエ	コロポックル				B	昔	100	15	/question-images/retro-q4.png	
出典: 2025年　画像のキャラクターは何？	トゥントゥントゥンサコール	ブルブルパクピン	リリリラリラ				B	昔	100	15	/question-images/retro-q5.png	
